iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate
ATG,North America,Antigua and Barbuda,2021-01-03,160.0,1.0,0.714,5.0,0.0,0.0,1620.614,10.129,7.235,50.644,0.0,0.0,0.72
ATG,North America,Antigua and Barbuda,2021-01-04,160.0,0.0,0.286,5.0,0.0,0.0,1620.614,0.0,2.894,50.644,0.0,0.0,0.72
ATG,North America,Antigua and Barbuda,2021-01-05,160.0,0.0,0.286,5.0,0.0,0.0,1620.614,0.0,2.894,50.644,0.0,0.0,0.72
ATG,North America,Antigua and Barbuda,2021-01-06,163.0,3.0,0.714,5.0,0.0,0.0,1651.001,30.387,7.235,50.644,0.0,0.0,0.73
ATG,North America,Antigua and Barbuda,2021-01-07,163.0,0.0,0.571,5.0,0.0,0.0,1651.001,0.0,5.788,50.644,0.0,0.0,0.74
ATG,North America,Antigua and Barbuda,2021-01-08,167.0,4.0,1.143,5.0,0.0,0.0,1691.516,40.515,11.576,50.644,0.0,0.0,0.75
ATG,North America,Antigua and Barbuda,2021-01-09,169.0,2.0,1.429,5.0,0.0,0.0,1711.774,20.258,14.47,50.644,0.0,0.0,0.76
ATG,North America,Antigua and Barbuda,2021-01-10,176.0,7.0,2.286,5.0,0.0,0.0,1782.676,70.902,23.152,50.644,0.0,0.0,0.76
ATG,North America,Antigua and Barbuda,2021-01-11,176.0,0.0,2.286,5.0,0.0,0.0,1782.676,0.0,23.152,50.644,0.0,0.0,0.77
ATG,North America,Antigua and Barbuda,2021-01-12,176.0,0.0,2.286,5.0,0.0,0.0,1782.676,0.0,23.152,50.644,0.0,0.0,0.78
ATG,North America,Antigua and Barbuda,2021-01-13,176.0,0.0,1.857,5.0,0.0,0.0,1782.676,0.0,18.811,50.644,0.0,0.0,0.79
ATG,North America,Antigua and Barbuda,2021-01-14,184.0,8.0,3.0,6.0,1.0,0.143,1863.706,81.031,30.387,60.773,10.129,1.447,0.8
ATG,North America,Antigua and Barbuda,2021-01-15,184.0,0.0,2.429,6.0,0.0,0.143,1863.706,0.0,24.599,60.773,0.0,1.447,0.82
ATG,North America,Antigua and Barbuda,2021-01-16,187.0,3.0,2.571,6.0,0.0,0.143,1894.093,30.387,26.046,60.773,0.0,1.447,0.84
ATG,North America,Antigua and Barbuda,2021-01-17,189.0,2.0,1.857,6.0,0.0,0.143,1914.351,20.258,18.811,60.773,0.0,1.447,0.85
ATG,North America,Antigua and Barbuda,2021-01-18,189.0,0.0,1.857,6.0,0.0,0.143,1914.351,0.0,18.811,60.773,0.0,1.447,0.87
ATG,North America,Antigua and Barbuda,2021-01-19,190.0,1.0,2.0,6.0,0.0,0.143,1924.479,10.129,20.258,60.773,0.0,1.447,0.89
ATG,North America,Antigua and Barbuda,2021-01-20,190.0,0.0,2.0,6.0,0.0,0.143,1924.479,0.0,20.258,60.773,0.0,1.447,0.9
ATG,North America,Antigua and Barbuda,2021-01-21,192.0,2.0,1.143,6.0,0.0,0.0,1944.737,20.258,11.576,60.773,0.0,0.0,0.93
ATG,North America,Antigua and Barbuda,2021-01-22,195.0,3.0,1.571,6.0,0.0,0.0,1975.124,30.387,15.917,60.773,0.0,0.0,0.95
ATG,North America,Antigua and Barbuda,2021-01-23,195.0,0.0,1.143,6.0,0.0,0.0,1975.124,0.0,11.576,60.773,0.0,0.0,0.97
ATG,North America,Antigua and Barbuda,2021-01-24,198.0,3.0,1.286,6.0,0.0,0.0,2005.51,30.387,13.023,60.773,0.0,0.0,0.99
ATG,North America,Antigua and Barbuda,2021-01-25,201.0,3.0,1.714,6.0,0.0,0.0,2035.897,30.387,17.364,60.773,0.0,0.0,1.01
ATG,North America,Antigua and Barbuda,2021-01-26,201.0,0.0,1.571,6.0,0.0,0.0,2035.897,0.0,15.917,60.773,0.0,0.0,1.02
ATG,North America,Antigua and Barbuda,2021-01-27,215.0,14.0,3.571,6.0,0.0,0.0,2177.7,141.804,36.174,60.773,0.0,0.0,1.03
ATG,North America,Antigua and Barbuda,2021-01-28,215.0,0.0,3.286,6.0,0.0,0.0,2177.7,0.0,33.28,60.773,0.0,0.0,1.05
ATG,North America,Antigua and Barbuda,2021-01-29,218.0,3.0,3.286,6.0,0.0,0.0,2208.087,30.387,33.28,60.773,0.0,0.0,1.07
ATG,North America,Antigua and Barbuda,2021-01-30,218.0,0.0,3.286,7.0,1.0,0.143,2208.087,0.0,33.28,70.902,10.129,1.447,1.09
ATG,North America,Antigua and Barbuda,2021-01-31,234.0,16.0,5.143,7.0,0.0,0.143,2370.148,162.061,52.091,70.902,0.0,1.447,1.12
ATG,North America,Antigua and Barbuda,2021-02-01,234.0,0.0,4.714,7.0,0.0,0.143,2370.148,0.0,47.75,70.902,0.0,1.447,1.15
ATG,North America,Antigua and Barbuda,2021-02-02,249.0,15.0,6.857,7.0,0.0,0.143,2522.081,151.933,69.455,70.902,0.0,1.447,1.18
ATG,North America,Antigua and Barbuda,2021-02-03,249.0,0.0,4.857,7.0,0.0,0.143,2522.081,0.0,49.197,70.902,0.0,1.447,1.2
ATG,North America,Antigua and Barbuda,2021-02-04,268.0,19.0,7.571,7.0,0.0,0.143,2714.529,192.448,76.69,70.902,0.0,1.447,1.22
ATG,North America,Antigua and Barbuda,2021-02-05,277.0,9.0,8.429,7.0,0.0,0.143,2805.688,91.16,85.372,70.902,0.0,1.447,1.23
ATG,North America,Antigua and Barbuda,2021-02-06,288.0,11.0,10.0,7.0,0.0,0.0,2917.106,111.417,101.288,70.902,0.0,0.0,1.25
ATG,North America,Antigua and Barbuda,2021-02-07,299.0,11.0,9.286,7.0,0.0,0.0,3028.523,111.417,94.054,70.902,0.0,0.0,1.26
ATG,North America,Antigua and Barbuda,2021-02-08,316.0,17.0,11.714,7.0,0.0,0.0,3200.713,172.19,118.652,70.902,0.0,0.0,1.27
ATG,North America,Antigua and Barbuda,2021-02-09,316.0,0.0,9.571,8.0,1.0,0.143,3200.713,0.0,96.947,81.031,10.129,1.447,1.27
ATG,North America,Antigua and Barbuda,2021-02-10,350.0,34.0,14.429,9.0,1.0,0.286,3545.094,344.381,146.145,91.16,10.129,2.894,1.28
ATG,North America,Antigua and Barbuda,2021-02-11,381.0,31.0,16.143,9.0,0.0,0.286,3859.088,313.994,163.508,91.16,0.0,2.894,1.28
ATG,North America,Antigua and Barbuda,2021-02-12,419.0,38.0,20.286,9.0,0.0,0.286,4243.983,384.896,205.471,91.16,0.0,2.894,1.28
ATG,North America,Antigua and Barbuda,2021-02-13,427.0,8.0,19.857,9.0,0.0,0.286,4325.014,81.031,201.13,91.16,0.0,2.894,1.26
ATG,North America,Antigua and Barbuda,2021-02-14,427.0,0.0,18.286,9.0,0.0,0.286,4325.014,0.0,185.213,91.16,0.0,2.894,1.26
ATG,North America,Antigua and Barbuda,2021-02-15,443.0,16.0,18.143,9.0,0.0,0.286,4487.076,162.061,183.766,91.16,0.0,2.894,1.25
ATG,North America,Antigua and Barbuda,2021-02-16,443.0,0.0,18.143,9.0,0.0,0.143,4487.076,0.0,183.766,91.16,0.0,1.447,1.25
ATG,North America,Antigua and Barbuda,2021-02-17,525.0,82.0,25.0,10.0,1.0,0.143,5317.64,830.565,253.221,101.288,10.129,1.447,1.25
